,full_notation,energy,SCF_steps,magnetism,time_of_calculation
330,7_MO_4_1,-61.923852, 58,2.00,43.94m
331,6_MO_1_3,-59.657666, 59,3.00,34.39m
332,13_MOCOM_3_8,-66.260861, 65,1.77,38.77m
333,97_MOCOM_5_10,-70.522753, 87,3.00,44.52m
334,11_MO_5_4,-60.780058, 85,2.00,69.57m
335,7_MO_9_4,-61.923852, 58,2.00,33.69m
336,5_MO_2_8,-59.610326, 63,3.00,36.06m
337,11_MOCOM_5_10,-66.219246, 68,2.77,40.78m
338,11_MOCOM_2_3,-66.219246, 68,2.77,53.32m
339,116_MO_3_8,-66.614692, 73,2.00,36.89m
340,11_MO_11_6,-60.780058, 85,2.00,53.08m
341,126_MO_12_7,-66.614109, 71,2.00,47.73m
342,113_MOCOM_2_6,-71.531915, 72,3.00,36.78m
343,100_MO_10_5,-65.429521, 93,1.98,63.67m
344,116_MOCOM_7_8,-71.660139, 64,3.00,32.24m
345,106_MOCOM_1_3,-70.439397, 76,3.00,40.22m
346,128_MO_4_9,-66.623501,137,2.00,74.70m
347,96_MO_2_6,-65.317862,110,1.93,75.05m
348,122_MO_3_9,-66.546431, 78,2.00,39.91m
349,13_MO_7_8,-60.863498, 81,2.00,47.76m
350,119_MOCOM_7_12,-71.628067,108,3.00,57.33m
351,105_MOCOM_11_12,-70.508464, 78,3.00,52.69m
352,114_MOCOM_1_4,-71.613829, 74,3.00,37.38m
353,12_MO_5_4,-60.795758,118,2.00,94.62m
354,106_MO_1_4,-65.353264,112,2.00,59.08m
355,98_MOCOM_7_12,-70.563856, 79,3.00,41.53m
356,12_MO_3_8,-60.795759,117,2.00,71.00m
357,100_MO_7_12,-65.429521, 93,1.98,47.79m
358,3_MO_1_5,-60.734579, 51,3.00,38.62m
359,117_MOCOM_1_2,-71.674248, 76,3.00,39.36m
360,104_MO_12_11,-65.449021, 93,2.00,48.43m
361,4_MOCOM_3_4,-65.017242, 49,3.66,36.99m
362,11_MOCOM_7_8,-66.219246, 68,2.77,40.93m
363,123_MOCOM_3_9,-71.471972,100,3.00,52.57m
364,4_MOCOM_1_3,-65.017242, 49,3.66,36.97m
365,115_MOCOM_8_12,-71.552944, 75,3.00,38.44m
366,100_MOCOM_10_11,-70.565535, 81,3.00,55.52m
367,3_MO_7_11,-60.734579, 51,3.00,29.61m
368,99_MOCOM_6_11,-70.473356, 86,3.00,44.96m
369,5_MOCOM_1_3,-64.856732,144,2.00,91.80m
370,112_MOCOM_5_10,-71.597987, 71,3.00,47.71m
371,6_MOCOM_1_2,-64.841968, 81,2.00,49.12m
372,5_MO_1_4,-59.610326, 63,3.00,47.82m
373,101_MOCOM_7_12,-70.535377, 86,3.00,44.98m
374,4_MO_3_8,-59.585410,109,3.00,69.25m
375,109_MO_3_8,-65.505437, 91,2.00,63.02m
376,13_MOCOM_1_3,-66.260861, 65,1.77,38.85m
377,2_MOCOM_7_8,-63.639377, 45,3.00,34.71m
378,117_MO_11_12,-66.588693, 76,2.00,38.70m
379,6_MO_2_7,-59.657666, 59,3.00,34.26m
380,119_MO_8_3,-66.581054, 81,2.00,55.06m
381,101_MO_4_3,-65.424873,110,1.98,58.48m
382,99_MO_6_7,-65.357112, 96,2.00,52.12m
383,107_MO_5_4,-65.446407,113,2.00,77.00m
384,115_MOCOM_2_8,-71.552944, 75,3.00,37.79m
385,8_MO_1_5,-61.929366, 66,2.00,37.84m
386,10_MOCOM_10_11,-66.099931, 97,1.46,59.99m
387,2_MOCOM_2_6,-63.639377, 45,3.00,26.53m
388,123_MO_4_1,-66.470878, 83,2.00,43.11m
389,127_MOCOM_2_6,-71.618971, 84,3.00,43.60m
390,14_MO_5_6,-60.822133,109,2.00,66.85m
391,7_MOCOM_4_9,-67.273157, 59,2.48,34.18m
392,2_MO_1_3,-58.474671, 54,4.00,42.46m
393,107_MOCOM_7_12,-70.503331, 84,3.00,43.12m
394,1_MO_1_3,-59.456640, 42,4.00,23.95m
395,107_MOCOM_1_2,-70.503331, 84,3.00,57.03m
396,103_MO_8_7,-65.514627, 85,2.00,43.78m
397,119_MOCOM_2_6,-71.628067,103,3.00,71.53m
398,12_MO_9_4,-60.795759,117,2.00,70.57m
399,111_MOCOM_2_3,-71.555187, 81,3.00,42.33m
400,111_MOCOM_7_11,-71.555187, 81,3.00,41.97m
401,103_MOCOM_4_10,-70.611054, 74,3.00,50.58m
402,125_MO_8_2,-66.555267, 98,2.00,51.56m
403,10_MOCOM_4_10,-66.099885,117,1.35,70.26m
404,8_MO_3_8,-61.929366, 66,2.00,49.48m
405,11_MOCOM_11_12,-66.219246, 68,2.77,40.92m
406,120_MOCOM_5_11,-71.650953, 70,3.00,35.89m
407,7_MOCOM_1_4,-67.273157, 59,2.48,34.68m
408,118_MO_6_7,-66.558243, 78,2.00,40.03m
409,118_MO_11_12,-66.558243, 78,2.00,52.60m
410,121_MOCOM_4_10,-71.539628, 68,3.00,34.76m
411,2_MO_2_7,-58.474671, 54,4.00,32.48m
412,5_MO_9_12,-59.610326, 63,3.00,47.89m
413,109_MOCOM_1_5,-70.537412, 75,3.00,38.32m
414,11_MO_2_7,-60.780058, 85,2.00,53.36m
415,132_MO_5_11,-66.493802, 83,2.00,43.31m
416,119_MO_1_6,-66.581054, 81,2.00,55.20m
417,9_MO_1_2,-61.914737, 58,2.00,33.26m
418,118_MOCOM_1_5,-71.569028, 76,3.00,38.72m
419,3_MOCOM_1_2,-65.903095, 57,2.00,33.55m
420,1_MO_1_6,-59.456640, 42,4.00,23.84m
421,98_MO_5_4,-65.469838, 94,1.99,65.25m
422,97_MO_4_5,-65.414821, 84,1.95,44.58m
423,8_MOCOM_2_3,-67.153970, 64,1.00,38.26m
424,1_MO_1_4,-59.456640, 42,4.00,23.76m
425,75_MC_7_12,-68.224528,101,2.00,59.96m
426,59_MC_6_2,-69.344961, 76,2.00,58.49m
427,81_MOCMHnbond_6_2,-69.064968, 74,2.00,43.15m
428,122_MC_8_9,-70.104087, 66,3.00,33.48m
429,66_MOCMHnbond_10_9,-70.106138, 70,2.00,53.36m
430,70_MC_9_8,-69.334657, 81,2.00,47.86m
431,129_MOCM_5_11,-66.630705, 97,1.99,52.11m
432,84_MOCMHnbond_7_2,-69.067861, 83,2.00,49.07m
433,131_MC_3_8,-70.205622,143,3.00,77.97m
434,123_MOCM_9_10,-66.583482, 99,1.96,65.15m
435,100_MOCMHnbond_2_8,-69.509197, 86,3.00,43.64m
436,62_MC_9_3,-69.384109, 69,2.00,40.30m
437,127_MC_7_11,-70.173543, 71,3.00,36.65m
438,107_MC_8_2,-69.065698, 80,3.00,54.26m
439,74_MC_7_12,-68.280156, 78,2.00,46.86m
440,84_MC_9_4,-68.320160, 79,2.00,46.64m
441,100_MOCM_5_4,-65.654410, 79,3.67,40.54m
442,63_MOCMHnbond_5_11,-70.071496, 86,2.00,51.77m
443,58_MC_1_5,-69.289354, 69,2.00,53.75m
444,85_MOCMHnbond_10_4,-69.114198, 82,2.00,48.76m
445,67_MC_11_10,-69.437788, 73,2.00,42.47m
446,109_MC_5_6,-69.092910, 98,3.00,52.55m
447,106_MOCMHnbond_1_5,-69.379492, 80,3.00,41.80m
448,120_MC_5_10,-70.180031, 64,3.00,34.62m
449,111_MC_3_9,-70.096791, 80,3.00,42.04m
450,104_MOCMHnbond_8_3,-69.387116, 83,3.00,43.32m
451,66_MOCM_11_5,-66.516491, 69,1.00,35.51m
452,125_MOCM_2_8,-66.660376, 76,3.46,51.66m
453,119_MOCM_11_7,-66.717005, 77,2.05,38.79m
454,62_MOCM_6_2,-66.504647, 66,1.00,33.69m
455,58_MOCMHnbond_7_11,-70.002780, 78,2.00,45.99m
456,70_MOCMHnbond_3_4,-70.020155, 68,2.00,39.78m
457,132_MOCM_2_1,-66.631030, 81,2.00,54.83m
458,110_MOCM_7_12,-66.602398, 90,3.25,48.09m
459,84_MOCM_8_7,-65.442258, 76,1.00,38.61m
460,101_MOCM_10_11,-65.636012, 78,3.99,39.99m
461,98_MOCM_3_8,-65.662712, 70,3.84,35.87m
462,69_MC_9_10,-69.367861, 68,2.00,40.00m
463,97_MOCMHnbond_11_6,-69.433520, 90,2.99,46.90m
464,88_MOCMHnbond_10_9,-69.031458, 81,2.00,48.79m
465,104_MC_11_5,-69.056723, 76,3.00,38.66m
466,80_MOCM_9_4,-65.457559,116,1.00,63.04m
467,108_MC_9_10,-69.050778, 75,3.00,39.66m
468,103_MOCM_4_1,-65.688974, 74,3.81,38.07m
469,126_MC_1_3,-70.184626, 72,3.00,48.53m
470,101_MOCMHnbond_4_5,-69.462290, 92,3.00,48.66m
471,112_MC_6_2,-70.106175, 76,3.00,39.17m
472,101_MOCM_7_11,-65.636012, 78,3.99,52.46m
473,86_MC_1_6,-68.274988, 78,2.00,46.85m
474,68_MOCMHnbond_5_11,-70.043012, 82,2.00,64.11m
475,91_MOCMHnbond_10_5,-69.099614, 99,2.00,59.29m
476,119_MOCM_8_3,-66.717005, 77,2.05,38.62m
477,87_MOCM_5_1,-65.461697, 95,1.00,49.44m
478,88_MC_2_1,-68.324963, 78,2.00,61.62m
479,86_MOCM_12_7,-65.377118,133,0.49,72.13m
480,118_MOCMHnbond_5_6,-70.440883, 76,3.00,40.00m
481,80_MC_4_9,-68.336921, 81,2.00,63.40m
482,65_MC_10_5,-69.434706, 65,2.00,38.28m
483,62_MOCMHnbond_4_1,-69.989049, 72,2.00,42.37m
484,59_MOCMHnbond_10_11,-70.055777, 70,2.00,40.84m
485,63_MOCM_11_12,-66.520319, 76,1.00,39.43m
486,114_MOCMHnbond_7_12,-70.518656, 70,3.00,35.30m
487,124_MC_1_2,-70.147731, 68,3.00,35.12m
488,96_MOCMHnbond_7_8,-69.417180, 84,2.93,43.26m
489,128_MOCMHnbond_1_2,-70.654979, 69,3.00,47.10m
490,78_MOCMHnbond_1_6,-68.985474, 99,2.00,60.72m
491,93_MOCM_2_1,-65.527258, 85,1.00,44.33m
492,67_MOCMHnbond_9_8,-70.099170, 67,2.00,51.60m
493,102_MOCM_5_10,-65.727336, 68,4.04,34.98m
494,83_MC_4_1,-68.278038, 76,2.00,45.45m
495,101_MC_1_4,-69.039105, 86,3.00,44.89m
496,89_MC_7_8,-68.321223, 68,2.00,40.07m
497,116_MC_7_6,-70.220118, 73,3.00,37.29m
498,126_MOCM_11_6,-66.719744, 76,3.12,39.05m
499,107_MOCM_7_6,-65.635557, 69,3.46,36.05m
500,63_MC_2_3,-69.383046, 70,2.00,40.65m
501,67_MOCM_5_10,-66.553739, 73,1.00,37.28m
502,72_MOCMHnbond_12_7,-68.935556, 98,1.94,75.54m
503,99_MC_6_2,-69.004599, 78,3.00,40.48m
504,126_MOCM_9_4,-66.719744, 76,3.12,39.24m
505,85_MC_6_5,-68.334226, 79,2.00,46.71m
506,89_MOCMHnbond_5_11,-69.070064, 76,2.00,44.21m
507,74_MOCMHnbond_1_2,-69.038420, 98,1.99,77.61m
508,64_MC_4_5,-69.230169, 79,2.00,47.41m
509,78_MC_8_3,-68.217105, 72,2.00,42.52m
510,79_MC_2_7,-68.342554,102,2.00,57.06m
511,62_MC_10_9,-69.384109, 69,2.00,52.30m
512,60_MOCMHnbond_5_10,-70.023372, 83,2.00,48.95m
513,112_MOCMHnbond_11_5,-70.469163, 74,3.00,37.91m
514,130_MC_6_5,-70.111568, 72,3.00,37.45m
515,79_MOCMHnbond_1_3,-69.062758, 70,1.94,40.68m
516,61_MC_5_4,-69.327571,130,2.00,105.49m
517,117_MOCMHnbond_11_5,-70.554905, 69,3.00,35.38m
518,105_MOCMHnbond_8_2,-69.432495, 79,3.00,40.83m
519,116_MOCMHnbond_12_7,-70.559406, 67,3.00,34.28m
520,77_MC_5_6,-68.299998, 80,2.00,47.04m
521,60_MC_12_8,-69.334610, 85,2.00,51.02m
522,107_MOCMHnbond_6_7,-69.431084, 83,3.00,43.33m
523,97_MC_7_12,-69.053286, 92,3.00,47.89m
524,102_MC_2_8,-69.140586, 74,3.00,38.22m
525,71_MC_8_7,-69.230916, 72,2.00,41.93m
526,121_MOCMHnbond_4_5,-70.393974, 82,3.00,43.09m
527,100_MC_8_7,-69.044650, 80,3.00,41.01m
528,99_MOCMHnbond_10_11,-69.384462, 93,3.00,48.67m
529,133_MOCM_1_3,-66.633949, 77,1.94,39.09m
530,81_MOCM_9_12,-65.407537, 76,1.00,40.53m
531,82_MOCM_11_12,-65.423646,121,0.77,66.05m
532,63_MOCM_7_8,-66.520319, 76,1.00,38.99m
533,88_MOCM_12_8,-65.498350,106,1.06,72.96m
534,127_MOCMHnbond_4_3,-70.505868, 77,3.00,40.85m
535,115_MC_5_1,-70.090326,104,3.00,55.76m
536,98_MC_1_4,-69.055746,100,3.00,54.26m
537,111_MOCMHnbond_6_5,-70.426131, 75,3.00,38.97m
538,115_MOCMHnbond_7_2,-70.442735, 78,3.00,40.68m
539,89_MOCM_6_7,-65.509040, 96,1.01,51.57m
540,102_MOCMHnbond_9_4,-69.567504, 73,3.00,37.01m
541,100_MC_10_11,-69.044650, 80,3.00,41.11m
542,96_MC_2_6,-69.004703, 90,3.00,45.44m
543,119_MC_2_7,-70.180320,112,3.00,61.15m
544,124_MOCMHnbond_8_9,-70.474813, 77,3.00,39.77m
545,115_MOCM_2_1,-66.645377, 79,2.91,53.58m
546,98_MOCMHnbond_6_5,-69.508626, 96,3.00,50.50m
547,77_MOCM_2_8,-65.427954,106,1.00,57.79m
548,126_MOCMHnbond_7_8,-70.583398, 71,3.00,47.87m
549,115_MOCMHnbond_10_9,-70.442735, 78,3.00,40.13m
550,76_MC_2_3,-68.282537, 79,2.00,47.15m
551,104_MOCM_10_12,-65.617622, 76,3.53,51.96m
552,121_MC_1_3,-70.063192, 72,3.00,36.45m
553,109_MOCMHnbond_3_2,-69.496193, 78,3.00,40.22m
554,84_MC_11_10,-68.320160, 79,2.00,46.82m
555,114_MC_1_4,-70.108057, 75,3.00,38.19m
556,88_MOCMHnbond_8_9,-69.031458, 81,2.00,48.59m
557,81_MOCM_12_8,-65.407537, 76,1.00,40.36m
558,122_MOCMHnbond_5_4,-70.478434, 84,3.00,43.66m
559,69_MOCMHnbond_8_12,-70.032770, 60,2.00,36.34m
560,117_MC_1_6,-70.174300, 80,3.00,41.43m
561,96_MOCM_4_3,-65.617228, 76,4.05,39.45m
562,94_MOCM_5_6,-65.439739, 90,1.00,61.54m
563,123_MC_5_6,-70.025694, 82,3.00,41.66m
564,95_MOCM_3_1,-65.466702, 89,1.00,47.83m
565,113_MC_6_2,-70.060173, 82,3.00,42.58m
566,127_MOCM_5_6,-66.737397, 97,2.02,53.07m
567,108_MOCMHnbond_1_4,-69.436869, 73,3.00,49.08m
568,114_MOCM_2_8,-66.680839, 68,3.33,34.92m
569,76_MOCM_3_9,-65.405060,100,1.00,53.93m
570,80_MOCMHnbond_6_5,-69.099075, 89,2.00,69.71m
571,76_MOCMHnbond_8_2,-68.940277,111,1.93,68.80m
572,90_MOCMHnbond_4_5,-69.013261, 84,2.00,50.06m
573,61_MOCM_6_5,-66.404063,119,0.38,85.56m
574,64_MOCM_7_12,-66.460254, 75,1.09,38.37m
575,104_MOCM_9_10,-65.617622, 76,3.53,39.68m
576,80_MOCM_1_2,-65.457560,116,1.00,62.80m
577,119_MOCMHnbond_5_11,-70.503973, 72,3.00,36.83m
578,170_MC_2_7,-72.388478, 55,5.00,30.44m
579,21_MC_2_6,-65.898249, 42, -0.08,27.27m
580,185_MOCM_2_6,-71.184716, 43,6.00,31.32m
581,175_MOCOM_4_5,-73.878902, 44,5.00,24.61m
582,149_MOCOM_5_11,-72.692965, 42,4.00,23.73m
583,18_MOCMHnbond_1_4,-67.647959, 36, -0.01,23.94m
584,136_MO_4_1,-66.667871, 41,3.00,22.81m
585,165_MO_11_5,-68.873002, 43,4.00,30.57m
586,36_MOCMHnbond_1_5,-68.916034, 33,1.00,21.75m
587,175_MOCM_1_5,-69.061209, 38,3.94,22.15m
588,156_MO_11_5,-67.611276,103,3.00,54.57m
589,187_MO_9_10,-71.326545, 42,6.00,30.07m
590,148_MOCOM_7_8,-72.738498, 52,4.00,29.23m
591,135_MC_2_1,-70.228560, 41,4.00,22.45m
592,5_MC_1_3,-63.440457, 25,2.00,21.29m
593,52_MC_6_5,-67.156522, 36,0.97,22.18m
594,134_MOCM_1_3,-66.837116, 39,4.90,22.00m
595,157_MOCMHnbond_11_5,-71.606800, 52,4.00,29.45m
596,44_MC_8_12,-67.041247, 37,1.03,32.10m
597,190_MC_1_5,-75.979564, 59,8.00,32.70m
598,141_MOCM_3_2,-66.873959, 47,3.64,26.90m
599,183_MOCM_1_3,-70.213577, 44,4.94,24.66m
600,183_MC_10_12,-73.589920, 48,6.00,34.84m
601,190_MOCOM_2_6,-77.718730, 45,8.00,24.22m
602,160_MOCMHnbond_10_5,-71.944495, 38,5.00,21.20m
603,181_MOCOM_2_6,-75.046346, 46,6.00,25.22m
604,165_MOCOM_2_6,-73.926864, 46,5.00,33.49m
605,1_MC_1_5,-63.108135, 23,3.00,15.04m
606,10_MOCMHnbond_5_1,-65.329524,116,0.01,73.37m
607,189_MOCMHnbond_2_1,-76.348864, 40,8.00,21.69m
608,183_MOCM_8_7,-70.213577, 44,4.94,32.27m
609,179_MOCMHnbond_7_2,-73.520382, 46,6.00,26.01m
610,160_MC_1_4,-71.444179, 44,5.00,24.30m
611,1_MOCMHnbond_1_2,-63.470856, 21,3.00,13.36m
612,138_MOCMHnbond_5_4,-70.621097, 41,4.00,30.37m
613,177_MOCOM_9_10,-74.132919, 48,6.00,26.60m
614,183_MOCMHnbond_4_9,-74.026785, 50,6.00,27.86m
615,56_MC_5_6,-67.152877, 32,1.00,21.34m
616,187_MC_3_8,-74.797649, 40,7.00,29.29m
617,135_MOCM_2_1,-66.827356, 39,5.06,21.62m
618,13_MC_1_6,-64.722788, 40, -1.00,25.58m
619,30_MC_6_11,-65.892492, 33,0.13,21.47m
620,187_MOCM_9_10,-72.137941, 46,6.00,33.28m
621,56_MOCMHnbond_5_1,-67.920882, 43,1.02,27.06m
622,170_MOCM_3_9,-69.015642, 41,3.94,23.80m
623,175_MO_6_1,-68.932211, 40,4.00,22.10m
624,156_MOCOM_5_6,-72.584668, 44,4.00,25.16m
625,56_MOCM_11_10,-64.305083, 47, -0.08,25.50m
626,152_MO_2_1,-67.803597, 36,3.00,20.15m
627,187_MOCOM_3_4,-76.503561, 40,7.00,21.64m
628,181_MO_3_2,-70.088043, 37,5.00,20.28m
629,185_MOCMHnbond_2_7,-74.824520, 40,7.00,21.80m
630,13_MOCMHnbond_9_10,-65.395323, 60,1.28,36.73m
631,7_MC_9_8,-65.737465,117,1.00,69.96m
632,190_MO_7_6,-72.519785, 47,7.00,25.55m
633,48_MOCMHnbond_8_9,-67.860948, 68,1.00,41.75m
634,7_MOCM_1_4,-62.817433, 38,2.00,22.94m
635,24_MOCM_4_1,-63.005426, 38,1.04,24.83m
636,177_MO_1_4,-69.097341, 40,5.00,22.42m
637,27_MOCMHnbond_11_7,-66.676974, 38,2.07,24.57m
638,4_MOCM_3_1,-60.548401, 27,3.00,23.35m
639,187_MOCOM_1_2,-76.503561, 40,7.00,21.68m
640,185_MO_7_11,-70.373399, 46,6.00,25.12m
641,4_MOCMHnbond_2_1,-64.252169, 89,3.72,75.94m
642,187_MOCMHnbond_3_4,-75.654841, 43,7.00,23.57m
643,7_MOCM_3_9,-62.817433, 38,2.00,22.64m
644,141_MC_11_6,-70.261721, 42,4.00,24.01m
645,156_MC_5_4,-71.162286, 51,4.00,36.18m
646,190_MOCM_8_7,-73.355261, 43,7.00,23.71m
647,150_MOCMHnbond_5_10,-71.674709, 45,4.00,26.44m
648,187_MC_2_6,-74.797649, 40,7.00,29.26m
